Dagaare,English
bɛŋkuoŋaa,dry bean
bɛraa,trap
bɛraa,razor
bɛre,to set  a trap   to poison  to ponder
bɛre,to exclude
bɛren-uri,pollen from the kenaf plant which causes itching
bɛroŋ,fat
bibile,small child
bibile-deɛnaa,toy
bibilpɔɔ,young child
bibore,the act of playing chess
bidɛndɛŋe,firstborn  human 
bidɛŋe,firstborn  human 
bidɔŋe,sibling  clan level 
bidɔɔ,son
bie,child
bie,day
bie,a type of game played using marbles
bie,tomorrow
bie,to come to pass
biebie,daily  every day
bieo,tomorrow
bieri,stinginess
bifaa,bad child
bifaa,bad pebble
bifẽe,small quantity of pebbles
bifõɔo,light pebble
bigaalaa,any bedding for a child
bigaale,postnatal care
bigane,leather spread for a baby cot
bigeŋ,all over  area 
bigeŋ,big heavy sound  fall of a big wall
bigileŋ,large and heavy
bigiri,fibre  kenaf  a plant that produces fibre
bigiri,fibre-like
bigiri,to describe
biiree,sand
biiridalempoɔ,desert
biirikpoŋi,desert
bikaa,the act of caring for children
bikaale,the act of gathering pebbles
bikaara,caretaker of a child
biko,the act of killing children
bikoŋkonaa,a child that cries a lot
bikoɔraa,industrious person
bikore,old chap
bikũu,baby cot
bikũu,dead child
bikpeebɛ,orphan
bikyelaa,smart child
bikyɛnaa,toddler
bildɛŋe,firstborn  nonhuman 
bile,small
bile,offspring  nonhuman 
bileɛ,young baby
bilembileŋ,round and smooth
bilembileŋ,caterpillar track
bilembileŋ,large and heavy
bilentimm,bloated and large
bilɛɛ,baby  newly born 
bilibala,grabbing on to a huge object by throwing both arms around it
billi,roll  a heavy object along the ground 
billi,roll between the palms  to mould
bimaraa,baby sling
bimbiŋ,extremely dark  rain clouds 
bimbiŋe,pen
bimeŋɛ,good child
bimm,large and solid
bimpeɛle,white faeces  fear
bimporɔ,flatulence
bin-eɛraa,cloth used for cleaning faeces  of a baby 
bini,excrement
binkyoo,open place full of defecation
binnyeɛbo,act of misbehavior
binɔnaa,beloved child  favorite
binɔŋe,the act of loving children  the act of pampering
bintanyeɛrɛ,a type of diarrhoea
binzẽe,dysentery
biŋi,"to put down, to place, to set out  to store  up "
biŋibiŋi,to shift unsteadily
biŋkõɔ,watery faeces
biŋkɔnnyeɛrɛ,one suffering from diarrhoea
bipeɛ,baby cot
bipoɔnaa,pampered child
bipɔlbile,a lad  young man
bipɔlee,young man
bipɔllee,young man
bipuulee,young woman
biraa,one who stammers
biri,cause debris to drop  down from a height 
biri,to stutter
biri,to pass by narrowly
biri,chaff from malt
biri,seed
biri,something of worth
biribiri,rushing in large numbers e.g. in a stampede
biribiri,completely
biribiri,to slip
birikyi,brake  brick
birikyilaa,mould  for bricks 
birikyisaabo,brake pad
birisi,brick
biriyokpekperaa,wild duck-like water bird
biriyonaameɛo,very large duck
biriyuo,duck
bisaa,father  human 
bisoŋ,good child
bitoroo,virgin
bitɔgelɔ,midwife
bituuro,baby adopter
biweɛmɛ,strayed or wayward child
biweɛraa,spoilt child
biwolaa,problem child  beloved child
biyaalaa,babysitter
biyaale,the act of babysitting
biyoɔraa,well-travelled person  one who roams a lot
biyopore,naming ceremony  baby 
biyuori,popular person
bizɛgɛ,young baby
bizɔnzɔɔ,young baby
bo,to gather momentum  rain seen coming from afar in full scale 
bo,to confer
bobɛllɛ,a type of carnivorous bird
boboo,extremely voluminous
boboruu,a type of termite
bobɔge,huge carnivorous bird
bodaa,male goat
bodaa-ansiinee,a type of tree with edible fruit
bodaanonnoonaa,a type of tree with edible fruit
bodaasensɔɔre,wild tigernut  not edible 
bodalane,male goat  uncastrated 
bodalee,young male goat
bodateɛne,male goat with long hair on the chin  bearded male goat
bodavaraa,castrated male goat
bogere,to break into little bits or pulp
bogi,hole  grave  pit  ditch  limit
bogigbɛre-katakye,subway
bogikantoo,a type of rodent  not edible 
bogisulee,round
bogiti,bucket
bogi-ũu,the act of burying a human corpse
bogi-ũu-faare,xylophone music signaling the completion of the burial of the dead
bogi-ũu-libie,fee for those who bury the dead
bogi-ũu-naazoɔ,chief undertaker  one who buries the dead 
bogi-ũuno,one who buries the dead
bogi-ũu-saabo,ritual TZ for those who bury the dead
bogi-ũu-sawɔlɔ,ritual dish for those who bury the dead
bogi-ũu-zanna,amateur undertaker
bogivuo,uncovered tomb
bogizeɛ,grave
bogɔbogɔ,ground into pulp
boguolo,goats given to one to raise in return for some
bog-uuno,one who buries the dead  undertaker
bokolɔ,tasteless powdered stuff
bokontawɛ,a daily marketplace
bokoŋ,lean or thin goat
bokore,old goat
bokpɛ,to sympathise with
bolaakaatoo,talking continuously
bolaare,to burst strongly
bole,to smear all over
bolebole,to speak unintelligibly
bolee,kid  young goat 
bolenaa,tethered goat  one restricted from moving
bo-leŋi,the act of tethering goats
boli,to be foolish
boli,not adulterated
bolle,to murmur  to talk inaudibly
bolɔ,a type of vegetable
bolɔbolɔ,lukewarm  water 
boluu,what  interrogative pronoun 
bombala,a sick thing
bombaalaa,a slim or narrow thing
bombaaraa,something that can grow
bombaaraa,the last one
bombalaa,something which is avoided
bombalaa,kind of thing  referring to something huge or strange 
bombaltakyelmɛ,things of all sorts
bombannaa,something which is known
bombaŋe,the act of knowing  knowledge
bombare,the act of releasing  the act of offering firstfruits to gods
bombeene,something that is cooked or ripe
bombeɛ,something strange or mysterious
bombeɛraa,sliced strips  of leather   that which is patched or to be patched  as in car tyre 
bombeɛre,boils
bombiiri,very young ones  unhatched embryos in eggs
bombile,young donkey  foal
bombile,small thing
bombiri,seed  cereal
bombo,a small plant with a jellylike tuber  the tuber or flour made from the tuber of this plant  fried dish made from the flour of this plant
bombolaa,a thing that is not of the same species  a strange thing
bombone,a useless thing
bombonoone,a type of tree
bomboŋɔ,something that cannot be classified
bombooree,something that is kept for posterity  seed for sowing
bomboorɔ,seed for planting
bomboɔraa,something that is sought  something that is wanted or liked
bomboɔre,things one wishes to have  wealth
bomboraa,something that is sown  a crop
bombore,the act of sowing
bombo sawɔlɔ,fried duff from bombo  flour 
bombɔ,quest for wealth
bombɔge,the act of grinding into fine pulp
bombɔgɔ,the forearm or leg of an animal
bombugilaa,something that is nursed
bombulaa,something that can sprout from a seed
bombuli,shoot of a new plant
bombuuraa,a measure  something that is respected
bommaalaa,something that is made
bommaale,the act of making
bommaane,an egg that is immature  something that is tiny
bommaaroŋ,a wet
bommannaa,a measure  something that is measured
bompaala,new or fresh things  firstfruits of crops
bompaare,the vulva of any animal
bompaare,the vulva of a donkey
bompaare,foot rot
bompare,residue  bottom
bompeelaa,a very young animal
bompeelaa,a piece torn from a piece of cloth
bompege,the act of decorating
bompegelaa,something that is moving and must be intercepted
bompegeraa,something that is adorned
bompegɛ,a piece of a broken container  calabash 
bompelaa,a white thing
bompere,the act of de-husking  removing the dry outer cover of a grain 
bompere,the act of scratching  as by fowl 
bompɛɛre,an immature thing
bompɛge,the act of washing the shell or bark of something
bompɛgelaa,something that is carried by holding it to one’s side
bompɛgeraa,something that has been washed  something for washing
bompɛlaa,something that can be peeled
bompɛle,the act of peeling
bompɛle,peel
bompɛnnaa,something that is carved
bompi,the process of becoming distended or bloated  claims in advance for something
bompigiraa,something that is to be watched or ought to be watched
bompiiraa,a lost thing that is found  an unexpected find  an easy find
bompiiraa,a distended thing
bompiiraa,something that has been earmarked for someone
bompiire,one who finds a lost item
bompollaa,something on which an oath is taken
bompoɔ,a pregnant thing  nonhuman 
bompoɔraa,something by which one swears
bomporaa,something that is poured
bompore,a situation of plentiful things
bompore,something that is small and short  a little thing
bompore,the act of pouring
bompɔ,the act of swearing or taking an oath on something
bompɔge,a female thing
bompɔge,the act of confining animals in enclosures
bompɔgeraa,something that is confined in an enclosure
bompɔle,a young thing
bompɔre,the act of plucking something   fruits or groundnuts 
bompɔrɔ,harvester
bompugo,an ashcoloured thing
bompulonpuloŋ,various things mixed up
bompuuraa,something that has flowered
bompuuraa,something that is or can be praised
bompuuri,flowers of things
bonaare,four times
bon-agraa,winged creature  insect
bonda,the act of buying
bondaa,male donkey
bondaa,a male thing
bondaa,the act of pushing
bondaana,rich person  one who has wealth
bondaaraa,something that is bought  something that is meant for sale
bondaga,carefree
bonde,the act of taking
bondegere,a dwarflike thing
bondemannewullaa,example
bondɛgere,a dirty thing
bondi,the act of eating
bondikaama,delicious and assorted food  luncheon
bondikaraa,raw food  food that is not well cooked
bondi-kpaa,leftover food
bondimaala,cook  one who prepares food
bondiraa,food  something that is edible  a sharp thing  blade 
bondire,one who eats  rightful owner
bondirii,food  things to eat
bondi-sãa,the act of wasting food
bondizie,restaurant
bondogelaa,something that is used for cooking
bondogeraa,a boiled thing
bondonaa,something that bites  insect
bondori,heap
bondɔgelaa,an extra thing
bondɔgeraa,hat which has been born
bondɔgerɔ,an animal that has recently littered
bone,thing
bone,worthless or useless
bon-ennaa,container
bonfa,the act of robbing  robbery
bonfaa,a bad or evil thing
bonfaara,robber  thief
bonfaaraa,something that is robbed
bonfane,a rough thing
bonfarafara,a rough
bonfẽe,a small quantity
bonfeeloo,small and tight opening
bonfegɛ,narrow space
bonfogeloo,a narrow thing
bonfogiluu,seedless pod
bonfole,an immature thing
bonfolo,powerful spiritual beings
bonfõɔo,a light thing
bonfɔraa,a narrow thing
bonfuraa,something that is used to plug an opening
bonfuuraa,something that is cool  something that threatens
bonii,eight times
bonkyaaraa,gift
bonkyẽɛ̃,a torn thing
bonkyeɛraa,something that is contributed  something that is cut
bonkyɛlee,a half thing
bonlaane,a worthless thing
bonlane,uncastrated animal
bonlee,a small thing
bonlee,colt
bonnaakale,the act of rolling over and over
bonnaŋ,scarcity
bonne,v
bonneɛ,the act of trampling on things  the act of ironing clothes
bonni,to burn  pain   to burn with fire
bonnimiri,something that is very valuable
bonnoɔ,a sweet thing
bonnyaa,chest of  most important part of
bonnyaanaa,a clever or wise animal
bonnyaara,coarseness  flour 
bonnyagere,intestines of nonhuman creatures
bonnyaŋaa,female
bonnyaŋaa,female donkey
bonnyuu,something that smells  smelling medicinal lotion
bonnyuu,the neck of something
bonnyuuraa,something that is drunk  a drink
bononnoonaa,a type of tree with juicy fruits
bonoone,a type of tree with fleshy edible fruits  medicinal
bonɔbonɔ,oily-looking
bonsãa,the act of being wasteful
bonsaalaa,something that is smooth
bonsaaloŋ,a slippery thing
bonsaana,a new or strange thing
bonsaana,one who destroys
bonsaanaa,a spoilt thing
bonsammo,unshelled nut
bonsaraa,a young female
bonseenaa,something that is touched
bonseɛraa,something that is worn on the waist  something that is sewn
bonseɛraa,that which is better than
bonseɛraa,something that is roasted
bonsennaa,something that is the right size
bonserɛ,a valuable thing
bonsɛgeraa,something that is written
bonsɛgeraa,something that is used to make another thing sturdy
bonsigiraa,something whose price is reduced  something that is lowered  height 
bonso,the act of owning
bonso,why  interrogative pronoun 
bonso,because
bonsoŋ,a good or blessed thing
bonsooraa,that which is owned  a belonging
bonsooraa,something that is asked for or wanted
bonsɔgelaa,a black thing  a hidden thing
bonsɔgele,the act of hiding things
bonsɔraa,something that is begged for
bonsɔraa,something that has been counted
bonsu,the act of wearing  clothes 
bonsu,the act of pushing things into an opening
bonsugo,things in great numbers
bonsuuraa,garment
bontaa,the act of owning
bontage,a thick thing
bontage,the act of pulling things
bontale,a lobe of  kola 
bontaŋa,camel
bontara,rich man  one who owns many things
bonteɛ,the act of shooting  the act of supporting things
bonteɛraa,something that supports something else
bonteɛraa,a boil
bonteɛraa,something that is shot at
bonteɛrɛ,shooter
bontegeroŋ,a heavy thing
bonteraa,something that is given out or offered
bontere,the act of giving out things
bontere,a big drum made of animal skin and a gourd
bontɛge,the act of exchanging
bontɛgeraa,something that is traded for
bontɛgerɛ,one who exchanges
bonto,act of insulting of things
bonto,type of cigar made by the Dagaabe
bontobo,a type of plant  medicinal
bontobo,the immediate tender leaves of a plant  bean leaves as vegetable for soup 
bontobo,an animal with prominent ears
bontoɔlaa,that which is sent by a messenger
bontɔraa,something that is shared
bontɔre,a worthy thing
bontɔre,the act of giving out or sharing to as many as possible
bontuo,a bitter thing  a poisonous or dangerous thing
bonuu,five times
bonvaane,a shrivelled thing
bonvaraa,castrated animal
bonvelaa,a good thing
bonveraa,an implement used in throwing stones  catapult   something that has been shot at by means of a catapult
bonveraa,a shift of a bone
bonvere,the act of spraining  body part 
bonvere,the act of shooting with a catapult
bonvooraa,something that breathes
bonvoɔloŋ,a slimy thing
bonvore,a living thing
bonvuo,an open thing  an uncovered enclosure or container
bonvuuraa,a thing that crawls  e.g. creature without legs   a thing that is dragged along the ground
bonweɛ,a common thing
bon-yaga,many things
bon-yeɛle,that which is winnowed or to be winnowed
bon-yɛɛ,unimportant things  wild crops
bon-yɛraa,something that is hung around the neck  garment
bon-yoɔraa,something that roams or wanders about  rheumatism
bon-yɔmɔ,plentiful and free thing s 
bon-yuo,different one
bon-yuori,a popular or prominent thing
bonzaa,anything
bonzagelaa,an empty thing
bonzeɛ,a red thing
bonzoolɔ,a thing with hairy ends  corncob 
bonyanlori,very large female goat
bonyaŋaa,female mother goat
bonyɛ,the act of having wicked ideas
bonyɛ,having wicked ideas
boŋ,what  interrogative pronoun 
boŋemaŋ,hazy
boŋganaa,bed
boŋgoraa,something that is abundant
boŋgori,half-ripe fruit
boŋgori,shoes  pl. 
boŋgu,the act of watching over something  crops from animals 
boŋguolaa,something that is raised or reared  an animal given to someone to be raised
boŋguoli,domestic animals and birds  poultry and animal husbandry 
boŋguoli,the rearing of animals
boŋguolo,things that are reared  domesticated animals and birds 
boŋguraa,something jumped upon
boŋguuro,one who watches over things
boŋgbuli,a whole thing  tumour
boŋkaa,invocation of spirits
boŋkaa,the act of taking care of something  the act of staring at something
boŋkãa,oil or fat from an animal  something oily or full of fat
boŋkaara,one who watches over something
boŋkaŋa,something
boŋkapala,a type of plant
boŋkaraa,a raw
boŋkoŋi,a lean thing
boŋkõɔ,a watery thing
boŋkoɔraa,crop  something that is cultivated  something used for ploughing or farming
boŋkoɔraa,something meant for sale  goods 
boŋkorabinzie,museum
boŋkore,old thing
boŋkuoŋaa,a dry thing
boŋkũu,a dead thing
boŋkpɔgɔ,lumps  a type of disease whose symptoms are swellings and boils
Boŋŋo,a traditional festival of Jirapa traditional area
boŋŋmaa,a piece of something
boŋŋmare,the act of breaking things
boŋŋmare,something that is spoilt  food 
boŋŋmeɛraa,musical instrument
boŋo,donkey
boŋɔ,done anyhow
boo,which one  which of them  interrogative pronoun 
boo,voluminous e.g. a dress
bõo,oily-looking  top of sauce 
boolimbo,taking one by the shoulders and chest  patient   typically used with kpɛ 
boore,to attack suddenly and fiercely
boore,of same stalk
boore,agreement
boorɔ,off same type
boɔ,goat
bõɔ,to scoop up a large amount of something
bõɔ,snub
boɔbo,something that is preferred  the act of liking or searching for something
boɔlaa,a call  an invitation
boɔle,to call  to invite
boɔraa,sack  one hundred pounds
boɔre,to smear with thick paste
boɔrɔ,to like
boɔso,bus
bopeɛ,traditional storey building
boraa,a stick used in sowing grains
bore,to break part of a lump off in big chunks
bore,to sow
boredaa,a stick for sowing
borenyɛ,Christmas
boreŋmaakpantoli,a type of large
boreŋmaao,a large bird with a strong sweet voice
boreŋmanlee,calabash for sowing
boribara,done poorly
boribori,to carry out poorly  cleaning
boroboro,bread
boroborozɔŋ,bread flour
